Year,Type,Country,Area,Activity,Fatal,Species ,,
1981,Provoked,SOUTH AFRICA,Western Cape Province,Inspecting teeth of supposedly dead (hooked & shot) shark,N,"3.5 m [11.5'], 510-kg [1125-lb] hooked & shot white shark",,
1981,Unprovoked,USA,Hawaii,Diving to untangle a crab trap line from boat's propeller,N,"2.1 m [7'] shark with ""a very flat head” that had followed the boat for 3 days",,
1981,Unprovoked,USA,Florida,Swimming,N,1.8 m to 2.4 m [6' to 8'] shark,,
1981,Unprovoked,USA,Florida,Surfing,UNKNOWN,,,
1981,Unprovoked,USA,Florida,Surfing,N,,,
1981,Unprovoked,USA,Florida,Surfing,N,6' shark,,
1981,Unprovoked,USA,Florida,Surfing,N,,,
1981,Unprovoked,USA,Florida,Surfing,N,,,
1981,Unprovoked,USA,Florida,Swimming,Y,Said to involve a tiger shark or a hammerhead shark,,
1981,Unprovoked,USA,Florida,Surfing,N,,,
1981,Unprovoked,USA,Florida,Surfing,N,,,
1981,Unprovoked,USA,Florida,Surfing,N,6' shark,,
1981,Provoked,USA,Florida,Spearfishing,N,"1.8 m [6'] shark, species identity questionable",,
1981,Invalid,USA,Hawaii,Fishing,,Shark involvement prior to death remains unconfirmed,,
1981,Unprovoked,USA,Florida,Diving,N,small nurse shark,,
1981,Unprovoked,USA,Florida,"16' catamaran capsized previous night, occupants stayed with wreckage until morning, then attempted to swim ashore",Y,,,
1981,Unprovoked,BAHAMAS,Grand Bahama Island,Snorkeling on surface,N,Mako shark (tooth fragments recovered),,
1981,Unprovoked,USA,Florida,Swimming,N,"""sandshark""",,
1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,Possibly a 1.8 m [6'] Zambezi shark,,
1981,Unprovoked,USA,Florida,Spearfishing,N,2.4 m [8'] shark,,
1981,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Catching sardines,N,"""gray shark""",,
1981,Boat,ENGLAND,,Fishing,N,"13', 400-lb thresher shark",,
1981,Invalid,USA,Hawaii,,,Shark involvement prior to death was not confirmed,,
1981,Unprovoked,USA,Hawaii,"Scuba diving, reportedly also spearfishing",Y,,,
1981,Unprovoked,SOUTH KOREA,Chungnam,Shell diving,Y,6 m white shark,,
1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,Raggedtooth shark,,
1981,Unprovoked,USA,Florida,Free diving,N,,,
1981,Unprovoked,USA,Florida,Diving,N,Lemon shark,,
1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,"Raggedtooth shark, 2.5 m [8.25']",,
1981,Provoked,NAMIBIA,Eronogo Region,Finning the shark that bit him,N,,,
1981,Sea Disaster,BERMUDA,,Foundering of the Israeli freighter Mezada,N,,,
1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,"Tiger shark, 2.1 m [7']",,
1981,Unprovoked,USA,Florida,Standing / Wading,N,"1.2 m to 1.5 m [4' to 5'] bull, sandbar or dusky shark",,
1981,Unprovoked,USA,Florida,Surfing,N,C. maculpinnis or C. limbatus,,
1981,Unprovoked,CHILE,Coquimbo,Free diving Spearfishing,N,White shark,,
1981,Unprovoked,BRAZIL,Rio de Janeiro,Diving,UNKNOWN,White shark,,
1981,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,N,Juvenile dusky or blacktip shark,,
1981,Unprovoked,AUSTRALIA,Western Australia,Exercising his dog in the shallows,N,1 m hammerhead shark,,
1981,Unprovoked,AUSTRALIA,Western Australia,,UNKNOWN,,,
1981,Unprovoked,USA,Florida,Surfing,N,1.8 m to 2.4 m [6' to 8'] hammerhead shark,,
1981,Unprovoked,BRAZIL,Rio de Janeiro,Spearfishing,N,,,
1981,Unprovoked,USA,Florida,Commercial spearfishing,N,Tiger shark,,
1981,Invalid,SOUTH AFRICA,KwaZulu-Natal,Swimming,,Shark involvement prior to death was not confirmed,,
1981,Unprovoked,AUSTRALIA,New South Wales,Surf-skiing,N,"Tiger shark, 2.5 m",,
1981,Unprovoked,GREECE,Pagasitikos Gulf,"Free diving / spearfishing,",N,,,
1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Paddleskiing,N,3.5 m [11.5'] shark,,
1980,Invalid,SOUTH AFRICA,Eastern Cape Province,,,Shark involvement prior to death was not confirmed,,
1980,Unprovoked,REUNION,Grand'Anse,Spearfishing,N,1.8 m [6'] white shark,,
1980,Unprovoked,AUSTRALIA,Western Australia,Swimming,N,,,
1980,Invalid,SOUTH AFRICA,KwaZulu-Natal,Swimming,,Shark involvement prior to death was not confirmed,,
1980,Unprovoked,BRAZIL,Pernambuco,Swimming,Y,,,
1980,Unprovoked,USA,Oregon,Surfing,N,4 m to 5 m [13' to 16.5'] white shark,,
1980,Unprovoked,USA,California,Surfing,N,4 m to 5 m [13' to 16.5'] white shark,,
1980,Unprovoked,MEXICO,,Diving in tuna net,Y,,,
1980,Unprovoked,USA,North Carolina,Wading,N,,,
1980,Unprovoked,USA,Hawaii,Resting on body board,N,"Tiger shark, 4.3 m [14']",,
1980,Unprovoked,SPAIN,Canary Islands,Skin diving,N,Blue shark,,
1980,Unprovoked,USA,New Jersey,Body surfing,N,,,
1980,Unprovoked,USA,Delaware,Standing,N,4' to 8' shark,,
1980,Unprovoked,USA,North Carolina,Surfing,N,,,
1980,Unprovoked,USA,Florida,Surfing,N,,,
1980,Provoked,USA,California,Scuba diving,N,Blue shark,,
1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,1.8 m [6'] shark,,
1980,Provoked,JAMAICA,St. Mary's Parish,Spearfishing,N,,,
1980,Sea Disaster,PHILIPPINES,Romblon Province,Sinking of the ferryboat Don Juan,Y,,,
1980,Unprovoked,MEXICO,Sinaloa,Body surfing,N,Tiger shark,,
1980,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Free diving,Y,Tiger shark,,
1980,Unprovoked,BRAZIL,Rio de Janeiro,Swimming,N,2 m shark,,
1980,Sea Disaster,PHILIPPINES,,Sinking of the ferryboat Bongbong 1,Y,,,
1980,Provoked,SOUTH AFRICA,Western Cape Province,Fishing,N,1.5 m [5'] hammerhead shark,,
1980,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Body boarding,N,"2.8 m [9'3""] white shark",,
1980,Unprovoked,KENYA,Lamu Archipelago,Spearfishing,N,2.2 m shark,,
1980,Provoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,N,"2 m [6'9""] Zambesi shark",,
1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,N,Hammerhead shark,,
1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,N,"Raggedtooth shark, 2 m [6'9""]",,
1980,Unprovoked,CHILE,Los Vilos,Hookah Diving,Y,White shark,,
1980,Provoked,NORTH ATLANTIC OCEAN,,Gaffing netted shark,N,1.8 m [6'] dogfish,,
1980,Invalid,GREECE,Island of Kos,Surfing,,Said to involve a white shark but shark involvement not confirmed,,
1980,Invalid,SOUTH AFRICA,Eastern Cape Province,Spearfishing,,Invalid,,
1980,Unprovoked,TONGA,Ha'api,Spearfishing,N,,,
1979,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,N,,,
1979,Invalid,PORTUGAL,Madeira Islands,Spearfishing,Y,White shark?,,
1979,Unprovoked,SOUTH CHINA SEA,,Diving,N,6' shark,,
1979,Unprovoked,USA,Oregon,Surfing,N,"White shark, 4 m [13']",,
1979,Provoked,SOUTH AFRICA,Western Cape Province,Shark fishing,N,"White shark, 5 m",,
1979,Provoked,SOUTH AFRICA,Eastern Cape Province,Fishing,N,"Raggedtooth shark, 50-kg [110-lb], 2 m [6.75'] gaffed",,
1979,Unprovoked,AUSTRALIA,New South Wales,Scuba diving,N,"""a small shark""",,
1979,Unprovoked,HONG KONG,,Freedom swimming,Y,,,
1979,Unprovoked,HONG KONG,Ho Ha Wan Marine Park,,Y,,,
1979,Unprovoked,USA,Florida,Kayaking,N,,,
1979,Unprovoked,THAILAND,Southern Thailand,Murdered by Thai pirates,Y,,,
1979,Sea Disaster,USA,Florida,Floating with life preserver after his boat foundered,N,,,
1979,Invalid,USA,Florida,Scuba diving,,Shark involvement prior to death was not confirmed,,
1979,Provoked,SOUTH AFRICA,Western Cape Province,Spearfishing,N,"White shark, 2.5 m [8.25']",,
1979,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scuba diving,Y,,,
1979,Unprovoked,NEW CALEDONIA,North Province,Fishing,N,,,
1979,Unprovoked,NEW CALEDONIA,North Province,,Y,2 m shark,,
1979,Unprovoked,USA,Florida,Swimming,N,,,
1979,Unprovoked,USA,Florida,Body surfing,N,,,
1979,Unprovoked,USA,Florida,Surfing,N,Blacktip or spinner shark,,
1979,Unprovoked,USA,California,Scuba diving (submerged),N,"White shark, 4 m to 5 m [13' to 16.5']",,
1979,Boat,SOUTH AFRICA,Western Cape Province,,N,,,
1979,Unprovoked,NEW CALEDONIA,Grand Terre,Spearfishing,Y,,,
1979,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Surfing, collided with shark",N,1.5 m to 2 m [5' to 6.75'] shark,,
1979,Unprovoked,USA,Hawaii,Fishing,Y,,,
1978,Unprovoked,AUSTRALIA,Queensland,,N,,,
1978,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,Y,"White shark, 2.3 m [7.5'], tooth fragment recovered",,
1978,Unprovoked,USA,Hawaii,Surfing,N,2.4 m [8'] shark,,
1978,Unprovoked,USA,Florida,Surfing,N,,,
1978,Invalid,SOUTH AFRICA,KwaZulu-Natal,Fishing,,Shark involvement prior to death was not confirmed,,
1978,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,N,"White shark, 3.7 m [12']",,
1978,Unprovoked,ITALY,Tyrrhenian Sea,Diving,N,"White shark, 5 m [16.5']",,
1978,Unprovoked,AUSTRALIA,Tasmania,Scuba diving for abalone,N,15' shark,,
1978,Unprovoked,USA,California,Wading,N,"2 m [6'9""] shark",,
1978,Unprovoked,USA,Florida,Floating on inner tube raft,N,,,
1978,Sea Disaster,USA,South Carolina,"Explosion destroyed 28' boat, survivors in the water",N,,,
1978,Provoked,USA,California,Fishing,N,,,
1978,Unprovoked,USA,Florida,Surfing,N,,,
1978,Unprovoked,USA,Florida,Surfing,N,,,
1978,Invalid,ITALY,Golfo de Venezia,,,Invalid,,
1978,Unprovoked,MARSHALL ISLANDS,Ralik Archipelago,Diving,N,,,
1978,Unprovoked,MARSHALL ISLANDS,Ralik Archipelago,Diving,N,,,
1978,Unprovoked,AUSTRALIA,Tasmania,Scuba diving,N,"Sevengill shark, 2.4 m",,
1978,Boat,SOUTH AFRICA,Eastern Cape Province,,N,,,
1978,Unprovoked,SOUTH AFRICA,Western Cape Province,Fishing for mackerel,N,270 kg shark,,
1978,Unprovoked,SOUTH AFRICA,Western Cape Province,Diving,N,White shark,,
1978,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surfing,N,Thought to involve a blacktip shark,,
1978,Invalid,SOUTH AFRICA,KwaZulu-Natal,,,Shark involvement prior to death was not confirmed,,
1978,Unprovoked,USA,Florida,Surfing,N,,,
1978,Unprovoked,VANUATU,Malampa Province,Swimming,Y,,,
1977,Sea Disaster,USA,Hawaii,"Swimming, after single-engine aircraft went down in the sea",N,,,
1977,Unprovoked,USA,Florida,Surfing,N,,,
1977,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,"Tiger shark, 3 m [10']",,
1977,Boat,SOUTH AFRICA,Western Cape Province,Fishing for bottom fish,N,3 m [10'] white shark (Tooth recovered from boat),,
1977,Provoked,SOUTH AFRICA,Western Cape Province,Standing,N,1.5 to 2 m [5' to 6.75'] shark,,
1977,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,N,"White shark, 5 m [16.5']",,
1977,Unprovoked,AUSTRALIA,South Australia,Surfing,N,White shark,,
1977,Unprovoked,AUSTRALIA,Queensland,Floating on an inflatable raft,Y,,,
1977,Boat,SOUTH AFRICA,Western Cape Province,Fishing,N,White shark,,
1977,Unprovoked,USA,California,Free diving for abalone (surfacing),N,"White shark, 5.5 m to 6 m [18' to 20']",,
1977,Invalid,USA,Florida,Wading,,Shark involvement not confirmed,,
1977,Sea Disaster,USA,California,40' fishing boat sank,N,,,
1977,Provoked,USA,Florida,Spearfishing / Scuba diving,N,"Bull shark, 8",,
1977,Unprovoked,USA,Texas,Collecting fish from net,N,"Bull shark, 4' to 5'",,
1977,Boat,SOUTH AFRICA,Western Cape Province,Fishing for yellowtail,N,"Mako shark, 2.3 m, 150-kg",,
1977,Invalid,AUSTRALIA,Queensland,,,,,
1977,Unprovoked,AUSTRALIA,Queensland,,N,,,
1977,Unprovoked,USA,Hawaii,Swimming,N,1.2 m [4'] shark,,
1977,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,N,,,
1977,Sea Disaster,AUSTRALIA,Queensland,"Their 9 m launch was run down by a 25,000-ton Japanese freighter on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",N,,,
1977,Sea Disaster,AUSTRALIA,Queensland,"Their 9 m launch was run down by a 25,000-ton Japanese freighter on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",Y,,,
1977,Sea Disaster,AUSTRALIA,Queensland,"Their 9 m launch was run down by a 25,000-ton Japanese freighter on the night of 3-11-1977 & they drifted, clinging to an icebox for 2 days",Y,,,
1977,Unprovoked,AUSTRALIA,New South Wales,"Pushed surfmat of a young girl out of the shark's path, drawing shark's attention to his own board",N,4 m [13'] shark,,
1977,Invalid,AUSTRALIA,Victoria,,,Shark involvement prior to death was not confirmed,,
1977,Unprovoked,NEW CALEDONIA,,,N,,,
1977,Unprovoked,MEXICO,Guerrero,Swimming,Y,,,
1976,Unprovoked,AUSTRALIA,Queensland,,N,,,
1976,Unprovoked,USA,California,Hookah diving for abalone (submerged),N,"White shark, 5.5 m [18']",,
1976,Unprovoked,SOUTH AFRICA,Western Cape Province,"Thrashing the water / imitating the shark victim from ""Jaws""",N,"White shark, 3 m [10'] k",,
1976,Invalid,AUSTRALIA,Queensland,,,Shark involvement prior to death was not confirmed,,
1976,Unprovoked,USA,Florida,Surfing,N,2.1 m [7'] lemon shark or bull shark,,
1976,Invalid,SOUTH AFRICA,KwaZulu-Natal,Swimming,,Questionable incident,,
1976,Provoked,SOUTH AFRICA,Western Cape Province,Fishing for white shark,N,"White shark, 4.8 m",,
1976,Boat,SOUTH AFRICA,Western Cape Province,Boat,N,White shark,,
1976,Unprovoked,USA,California,Surfing,N,"White shark, 3 m to 4 m [10' to 13']",,
1976,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,"White shark, 3.5 m [11.5'], species identity confirmed by tooth fragment",,
1976,Sea Disaster,NEW CALEDONIA,,Shipwreck,N,,,
1976,Unprovoked,AUSTRALIA,South Australia,"Skindiving,",N,2.7 m [9'] shark,,
1976,Sea Disaster,HONG KONG,South China Sea 200 miles from Hong Kong,"3,909-ton Panamanian freighter Chieh Lee sank in a typhoon",Y,,,
1976,Unprovoked,USA,Florida,Swimming,Y,,,
1976,Unprovoked,USA,Florida,Swimming,Y,,,
1976,Unprovoked,USA,Florida,Surfing,N,"Tiger shark, 6'",,
1976,Unprovoked,USA,North Carolina,"Surfing, fell off surfboard",N,,,
1976,Unprovoked,USA,Oregon,Surfing,N,"White shark, 4.5 m",,
1976,Unprovoked,USA,Florida,Spearfishing,N,,,
1976,Unprovoked,USA,Louisiana,Playing,N,,,
1976,Unprovoked,USA,Hawaii,Scuba diving,Y,,,
1976,Unprovoked,USA,Florida,Spearfishing,N,6' to 8' shark,,
1976,Unprovoked,USA,Florida,Skindiving,N,12' to 14' shark,,
1976,Unprovoked,USA,Hawaii,Swimming,N,0.9 m to 1.5 m [3' to 5'] shark,,
1976,Provoked,ITALY,Reggio Calabria Province,Fishing,N,"Blue shark, 2m",,
1976,Boat,AUSTRALIA,Queensland,Sitting in bow of her father's 5 m boat,N,1.5 m [5'] shark,,
1976,Boat,SOUTH AFRICA,Western Cape Province,Competing in a light tackle game fishing,N,"Mako shark, 180-kg [397-lb]",,
1976,Invalid,USA,Texas,,,Shark involvement prior to death was not confirmed,,
1976,Unprovoked,USA,Florida,Standing,N,,,
1976,Boat,SOUTH AFRICA,Western Cape Province,Fishing,N,Whale shark,,
1976,Boat,SOUTH AFRICA,Western Cape Province,,N,White shark named “Spotty”,,
1976,Boat,SOUTH AFRICA,Western Cape Province,,N,White shark named “Spotty”,,
1976,Boat,SOUTH AFRICA,Western Cape Province,Shark watching,N,2.5 m [8.25'] white shark,,
1976,Provoked,SOUTH AFRICA,Western Cape Province,Shark fishing,N,4 m [13'] shark,,
1976,Unprovoked,AUSTRALIA,Queensland,,N,,,
1976,Provoked,SOUTH AFRICA,Western Cape Province,Fishing for snoek & yellowtail,N,"White shark, 3 m [10']",,
1976,Unprovoked,USA,Florida,Spearfishing / scuba diving,N,6' shark,,
1976,Unprovoked,NEW ZEALAND,North Island,Spearfishing,Y,Bronze whaler shark,,
1976,Unprovoked,USA,Hawaii,Scuba diving,Y,,,
1975,Boat,AUSTRALIA,South Australia,Attempting to drive shark away from the beach,N,2.4 m [8'] shark,,
1975,Unprovoked,USA,California,Scuba diving & spearfishing,N,White shark,,
1975,Provoked,AUSTRALIA,New South Wales,Filming & feeding captive sharks,N,"Grey nurse shark, 10'",,
1975,Unprovoked,AUSTRALIA,New South Wales,Standing,N,5' shark,,
1975,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Standing,N,Juvenile dusky shark,,
1975,Unprovoked,AUSTRALIA,Queensland,,N,,,
1975,Unprovoked,USA,Florida,Surfing,N,6' shark,,
1975,Invalid,USA,New Jersey,Surf fishing,,Shark involvement unconfirmed,,
1975,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,Bronze whaler,,
1975,Invalid,USA,California,Surfing,,Questionable incident,,
1975,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Paddleskiing,N,1.2 m [4'] shark,,
1975,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,"White shark, 2.4 m [8']",,
1975,Unprovoked,USA,Florida,Floating on a small orange raft,N,1.5 m [5'] shark,,
1975,Unprovoked,USA,California,Free diving for abalone,N,White shark,,
1975,Unprovoked,HONG KONG,Mirs Bay,Freedom swimming,N,,,
1975,Sea Disaster,USA,Oregon,Sea disaster,Y,,,
1975,Unprovoked,AUSTRALIA,Tasmania,Scuba diving for abalone,Y,White shark,,
1975,Unprovoked,USA,Florida,Free diving,N,,,
1975,Unprovoked,AUSTRALIA,Queensland,Surfing,N,12' shark,,
1975,Unprovoked,USA,California,Scuba diving for abalone (at surface),N,"White shark, 5.8 m [19']",,
1975,Unprovoked,USA,California,Hookah diving for abalone,N,"White shark, 5m to 6m",,
1975,Unprovoked,USA,Florida,Swimming,N,1.2 m [4'] shark,,
1975,Provoked,AUSTRALIA,Western Australia,Spearfishing,N,2.4 m [8'] whaler shark,,
1975,Unprovoked,USA,Florida,Surfing,N,,,
1975,Unprovoked,USA,South Carolina,Swimming,N,4' shark,,
1975,Unprovoked,USA,South Carolina,Standing,N,,,
1975,Unprovoked,USA,Alabama,Swimming near his boat,N,,,
1975,Unprovoked,USA,Florida,Surfing,N,,,
1975,Provoked,USA,Florida,,N,,,
1975,Unprovoked,USA,Florida,Surfing,N,,,
1975,Unprovoked,USA,Florida,Bathing,N,,,
1975,Invalid,ITALY,Genoa Province,Scuba diving,,Invalid,,
1975,Invalid,SOUTH AFRICA,KwaZulu-Natal,,,Shark involvement prior to death was not confirmed,,
1975,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing Competition,N,"White shark, 600-kg [1323-lb]",,
1975,Invalid,SOUTH AFRICA,KwaZulu-Natal,Swimming,,Shark involvement prior to death was not confirmed,,
1975,Unprovoked,AUSTRALIA,Queensland,,N,,,
1975,Unprovoked,USA,Florida,Floating in inner tube,N,10' shark,,
1975,Provoked,AUSTRALIA,Queensland,Diving & force-feeding the shark,N,"Bronze whaler shark, 6'",,
1975,Provoked,SOUTH AFRICA,Western Cape Province,Attempting to drag hooked shark ashore by its tail,N,1.5 m [5'] shark,,
1975,Sea Disaster,BANGLADESH,Ganges-Brahmaputra delta,Ferry capsized,Y,,,
1975,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surfing,N,1.5 m [5'] shark,,
1975,Boat,SOUTH AFRICA,Western Cape Province,,N,"Mako shark, 3 m [10']",,
1975,Unprovoked,AUSTRALIA,South Australia,Swimming underwater from crayfish cage to a fishing bait,Y,"White shark, 3 m [10']",,
1975,Unprovoked,AUSTRALIA,Victoria,Crayfishing,N,"Carpet shark, 10'",,
1975,Unprovoked,AUSTRALIA,Queensland,,N,,,
1975,Provoked,SOUTH AFRICA,Western Cape Province,Fishing,N,"Copper shark, 50-kg [110-b]",,
1975,Unprovoked,AUSTRALIA,South Australia,Surfing,Y,,,
1975,Unprovoked,BERMUDA,,Spearfishing,N,8' blue shark,,
1975,Unprovoked,REUNION,,,Y,,,
1974,Unprovoked,AUSTRALIA,Western Australia,,N,,,
1974,Unprovoked,USA,Florida,Standing,N,,,
1974,Unprovoked,USA,California,Surfing,N,"White shark, 5.5 m to 6 m [18' to 20']",,
1974,Unprovoked,USA,California,Hookah diving for abalone,N,"White shark, 4 m to 5 m",,
1974,Unprovoked,ISRAEL,Red Sea,Swimming,N,"Shortfin mako shark, 2.3 m [7.5']",,
1974,Unprovoked,USA,California,Scuba diving (but on surface),N,"White shark, 5 m to 6 m [16.5 to 20']",,
1974,Unprovoked,USA,California,Scuba diving (but on surface),N,"White shark, 5 m to 6 m [16.5 to 20']",,
1974,Sea Disaster,AUSTRALIA,Queensland,3.3 m fishing boat sank. Treveluwe & Peter Hodgson (wearing lifejackets) were drifting in the current,N,,,
1974,Unprovoked,USA,Oregon,Surfing,N,"White shark, 4.5 m",,
1974,Unprovoked,HONG KONG,Mirs Bay,Freedom Swimming,N,,,
1974,Unprovoked,HONG KONG,Mirs Bay,Freedom swimming,Y,,,
1974,Unprovoked,HONG KONG,Mirs Bay,Freedom swimming,N,,,
1974,Unprovoked,HONG KONG,Mirs Bay,Freedom swimming,N,,,
1974,Unprovoked,CROATIA,Split-Dalmatia County,,Y,"White shark, 5 m [16.5']",,
1974,Unprovoked,USA,California,Surfing,N,"White shark, 5 m",,
1974,Unprovoked,USA,California,Free diving for abalone (submerged),N,"White shark, 5.5 m [18']",,
1974,Unprovoked,USA,Georgia,Swimming,Y,small sharks',,
1974,Sea Disaster,USA,Florida,Adrift after the sinking of the motor yacht Princess Dianne,Y,3.7 m [12'] sharks,,
1974,Unprovoked,USA,Florida,Swimming,N,,,
1974,Unprovoked,USA,California,Free diving (but on surface),N,"White shark, 5 m [16.5']",,
1974,Sea Disaster,BRAZIL,,Fishing boat swamped in a storm,Y,,,
1974,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,N,"Raggedtooth shark, 1.5 m [5']",,
1974,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Standing,N,,,
1974,Unprovoked,USA,Florida,Swimming,N,,,
1974,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surfing,N,Juvenile dusky shark,,
1974,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Surfing,N,1.8 m [6'] shark,,
1974,Boat,SOUTH AFRICA,Western Cape Province,Fishing for kob,N,White shark,,
1974,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,N,,,
1974,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,N,,,
1974,Boat,SOUTH AFRICA,Western Cape Province,Fishing for red fish,N,5 m white shark,,
1974,Boat,SOUTH AFRICA,Western Cape Province,Fishing for kob,N,White shark,,
1974,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Sitting,N,"Raggedtooth shark, 1 m",,
1974,Unprovoked,AUSTRALIA,South Australia,Diving for abalone,Y,White shark,,
1974,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,N,2 m to 2.5 m [6.75' to 8.25'] shark,,
1974,Unprovoked,MOZAMBIQUE,Gaza,Swimming,Y,,,
1974,Unprovoked,MOZAMBIQUE,Gaza,Swimming,Y,,,
1974,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,N,"Bronze whaler shark, 4'",,
1974,Unprovoked,CROATIA,Primorje-Gorski Kotar County,,Y,,,
1973,Unprovoked,MOZAMBIQUE,Gaza,Spearfishing,N,,,
1973,Unprovoked,MOZAMBIQUE,Gaza,Swimming,Y,,,
1973,Unprovoked,PHILIPPINES,Luzon,Swimming,Y,,,
1973,Unprovoked,USA,Hawaii,Swimming,N,,,
1973,Unprovoked,MEXICO,Guerrero,Swimming alongside yacht Mexico Fiesta,Y,,,
1973,Unprovoked,AUSTRALIA,Western Australia,,N,,,
1973,Unprovoked,USA,Florida,Surfing,N,,,
1973,Unprovoked,AUSTRALIA,Queensland,,N,,,
1973,Sea Disaster,SOUTH AFRICA,KwaZulu-Natal,Being pulled to shore from wreck of 25-ton fishing vessel Alan S,Y,,,
1973,Unprovoked,BAHAMAS,Grand Bahama Island,"Free diving, Spearfishing",N,7' to 8' bull shark,,
1973,Unprovoked,HONG KONG,Mirs Bay,Freedom Swimming,Y,,,
1973,Unprovoked,MEXICO,Baja California,"Free diving, Spearfishing",Y,White shark,,
1973,Unprovoked,EGYPT,Red Sea,,N,Tiger shark,,
1973,Unprovoked,AUSTRALIA,Queensland,,UNKNOWN,,,
1973,Unprovoked,AUSTRALIA,Queensland,Surfing,N,12' shark,,
1973,Unprovoked,USA,Virginia,Crabbing (spearing crabs),N,1.5 m to 1.8 m [5' to 6'] blacktip shark,,
1973,Unprovoked,HONG KONG,,Freedom Swimming,N,,,
1973,Unprovoked,MEXICO,Guerrero,Wading,Y,,,
1973,Unprovoked,AUSTRALIA,Queensland,,N,,,
1973,Unprovoked,MOZAMBIQUE,Gaza,Spearfishing,Y,,,
1973,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,N,"2 m shark, possibly a dusky or blacktip shark",,
1973,Unprovoked,MEXICO,Guerrero,Swimming,Y,,,
1973,Provoked,SOUTH AFRICA,KwaZulu-Natal,Fishing from paddleski,N,1 m shark,,
1973,Unprovoked,USA,Hawaii,Surfing,N,1.2 m to 1.8 m [4' to 6'] shark observed in area,,
1973,Unprovoked,PALAU,Aulong Island,Scuba diving (submerged),N,Tiger shark,,
1973,Unprovoked,PALAU,Western Caroline Islands,Scuba diving & U/W photography,N,Grey reef shark,,
1973,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,,,
1972,Unprovoked,SOUTH AFRICA,Western Cape Province,Treading water,N,,,
1972,Unprovoked,MOZAMBIQUE,Gaza,Swimming,N,2 m to 3 m shark,,
1972,Unprovoked,MEXICO,Guerrero,Body surfing,Y,,,
1972,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,N,"White shark, > 3 m [10']",,
1972,Unprovoked,AUSTRALIA,Queensland,,N,,,
1972,Provoked,AUSTRALIA,New South Wales,,N,,,
1972,Unprovoked,REUNION,Saint-Philippe,Spearfishing,Y,,,
1972,Unprovoked,AUSTRALIA,Queensland,Spearfishing,N,,,
1972,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"Bronze whaler shark, 10'",,
1972,Unprovoked,USA,US Virgin Islands,Scuba diving,Y,Oceanic whitetip shark x 2,,
1972,Unprovoked,USA,Florida,Surfing,N,,,
1972,Unprovoked,NEW ZEALAND,North Island,Swimming,N,,,
1972,Unprovoked,USA,California,Surfing,N,"White shark, 6 m [20']",,
1972,Invalid,MOZAMBIQUE,Maputo Province,Swimming,,Questionable incident,,
1972,Unprovoked,USA,Florida,Surfing,N,,,
