Year,Type,Country,Area,Activity,Fatal,Species ,,
2018,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Fishing,N,"White shark, 3m",,
2018,Unprovoked,AUSTRALIA,Western Australia,Body Boarding,N,Sandtiger shark,,
2018,Unprovoked,BAHAMAS,Exumas,Swimming,N,Nurse shark,,
2018,Unprovoked,EGYPT,,Scuba diving,N,Oceanic whitetip shark,,
2018,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,5' shark,,
2018,Unprovoked,AUSTRALIA,Queensland,Swimming,Y,,,
2018,Questionable,AUSTRALIA,Western Australia,Surfing,N,,,
2018,Unprovoked,USA,Florida,Surfing,N,3' to 4' shark,,
2018,Unprovoked,USA,Florida,Surfing,N,,,
2018,Unprovoked,USA,California,Diving,N,,,
2018,Unprovoked,AUSTRALIA,New South Wales,Body Surfing,N,Bull shark?,,
2018,Unprovoked,NEW ZEALAND,North Island,Surfing,N,"White Shark, 3.2m to 3.5m",,
2018,Questionable,AUSTRALIA,Western Australia,Spearfishing,N,"White shark, 5m female",,
2018,Unprovoked,USA,Florida,Surfing,N,Spinner shark,,
2018,Provoked,AUSTRALIA,Queensland,Fishing,N,"""reef shark""",,
2018,Unprovoked,USA,North Carolina,Swimming/Standing,N,,,
2018,Unprovoked,EGYPT,,Snorkeling,Y,Tiger shark,,
2018,Unprovoked,USA,Florida,Surfing,N,,,
2018,Provoked,CHINA,Guizhou Province,Putting hand in shark tank,N,,,
2018,Unprovoked,USA,New York,Boogie Boarding,N,Sandtiger shark,,
2018,Unprovoked,USA,New York,Wading,N,Sandtiger shark,,
2018,Invalid,USA,Texas,Surfing,,,,
2018,Invalid,COLOMBIA,San Andres and Providencia Archipelago,Fishing,,,,
2018,Provoked,USA,California,Wading,N,"Salmon shark, juvenile",,
2018,Under investigation,USA,Florida,Surfing,N,,,
2018,Unprovoked,USA,Florida,Wading,N,,,
2018,Unprovoked,USA,Florida,Surfing,N,,,
2018,Unprovoked,USA,Florida,Surfing,N,,,
2018,Unprovoked,BAHAMAS,The Exuma Cays,Floating,N,"Nurse shark, 5'",,
2018,Invalid,USA,Florida,Snorkeling,N,"Injury most likely caused by barracuda, not a shark",,
2018,Unprovoked,USA,South Carolina,Boogie boarding,N,,,
2018,Boating,USA,California,Paddling,N,White shark,,
2018,Provoked,USA,Florida,Fishing,N,Nurse shark,,
2018,Unprovoked,USA,Georgia,Standing,N,,,
2018,Invalid,USA,Hawaii,Surfing,N,,,
2018,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,2 m shark,,
2018,Provoked,MEXICO,Colima,Free diving,N,"Tiger shark, 3m",,
2018,Unprovoked,AUSTRALIA,New South Wales,Kite surfing,N,,,
2018,Unprovoked,BRAZIL,Pernambuco,Swimming,Y,Tiger shark,,
2018,Unprovoked,USA,Florida,Fishing,N,"Lemon shark, 3'",,
2018,Unprovoked,USA,Florida,Walking,N,"Bull shark, 6'",,
2018,Unprovoked,USA,Florida,Standing,N,,,
2018,Provoked,AUSTRALIA,Queensland,Feeding sharks,N,Grey reef shark,,
2018,Unprovoked,USA,South Carolina,Boogie boarding,N,,,
2018,Unprovoked,USA,South Carolina,Swimming,N,,,
2018,Invalid,ENGLAND,Cornwall,Fishing,N,Invalid incident,,
2018,Provoked,AUSTRALIA,Westerm Australia,Feeding sharks,N,"Tawny nurse shark, 2m",,
2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,,,
2018,Questionable,AUSTRALIA,New South Wales,Surfing,N,Shark involvement not confirmed,,
2018,Unprovoked,THAILAND,Hua Hin,Swimming,N,,,
2018,Provoked,USA,Texas,Fishing,N,Sandtiger shark',,
2018,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,N,Tiger shark,,
2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,,,
2018,Questionable,AUSTRALIA,New South Wales,Surfing,N,Questionable,,
2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,3 m shark,,
2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,"White shark, 3.5 m",,
2018,Unprovoked,MALDIVES,Alifu Alifu Atoll,Fishing,N,Tiger shark,,
2018,Unprovoked,SOUTH AFRICA,Western Cape Province,Paddle-skiing,N,"White shark, 2.5 m",,
2018,Unprovoked,USA,Hawaii,Body boarding,N,6' shark,,
2018,Unprovoked,THAILAND,Hua Hin,Swimming,N,Juvenile bull shark,,
2018,Unprovoked,BRAZIL,Pernambuco,Swimming,,,,
2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,,,
2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,,,
2018,Unprovoked,BAHAMAS,New Providence,Surfing,N,Tiger shark,,
2018,Invalid,BRAZIL,Alagoas,Fishing,N,Shark involvement not confirmed,,
2018,Unprovoked,NEW CALEDONIA,,Windsurfing,N,2 m shark,,
2018,Unprovoked,BAHAMAS,,Swimming,N,Bull shark,,
2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,White shark,,
2018,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,N,"Tiger shark, 12'",,
2018,Unprovoked,AUSTRALIA,Western Australia,Wading,N,Wobbegong shark,,
2018,Unprovoked,AUSTRALIA,Victoria,Swimming,N,3.5 m shark,,
2018,Unprovoked,AUSTRALIA,Victoria,Surfing,N,1.8 m shark,,
2018,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,N,Blacktip shark,,
2018,Unprovoked,AUSTRALIA,New South Wales,Swimming,N,"Juvenile white shark, 2.7 to 3.2 m",,
2018,Provoked,AUSTRALIA,Victoria,Kayak fishing for sharks,N,,,
2018,Unprovoked,AUSTRALIA,New South Wales,Walking,N,"Bull shark, 2 m",,
2018,Invalid,AUSTRALIA,Queensland,Swimming,N,Possibly a wobbegong,,
2018,Invalid,BRAZIL,"Boi Island, Victoria",Cleaning fish,N,"Injury believed caused by an eel, not a shark",,
2018,Unprovoked,ECUADOR,Galapagos Islands,Snorkeling,N,Galapagos shark?,,
2018,Invalid,AUSTRALIA,Western Australia,Spearfishing,N,2m shark,,
2018,Unprovoked,AUSTRALIA,Western Australia,,N,Bull shark,,
2018,Unprovoked,NEW CALEDONIA,,Spearfishing,N,"Bull shark, 3 m",,
2018,Unprovoked,AUSTRALIA,Queensland,Diving,N,Grey reef shark. 2 m,,
2018,Unprovoked,AUSTRALIA,New South Wales,Free diving,N,"White shark, 3.5 m",,
2018,Unprovoked,BRAZIL,Fernando de Noronha,Surfing,N,small shark,,
2018,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,Wobbegong shark?,,
2017,Unprovoked,USA,Hawaii,Surfing,N,Tiger shark,,
2017,Unprovoked,USA,California,Surfing,N,,,
2017,Provoked,MALAYSIA,Sepang,Fishing / Wading,N,Juvenile nurse shark,,
2017,Unprovoked,BAHAMAS,,Snorkeling,N,Nurse shark. 5',,
2017,Unprovoked,COSTA RICA,Cocos Island,Scuba Diving,N,"Tiger shark, female",,
2017,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,Y,"Tiger shark, female",,
